,Sport,League,Year,Prediction,Probability,Odd,Opponent_probability,Opponent_odd,Id_Match,Result
130,beisbol,usa/mlb/,2016,home,0.6323333333333333,1.8300000000000003,0.3305,2.0,2JybcEqf,1.0
131,beisbol,usa/mlb/,2016,home,0.59,2.25,0.473,1.69,2JybslGB,0.0
132,beisbol,usa/mlb/,2016,home,0.443,0.0,0.44116666666666665,0.0,2LA9xIsc,0.0
133,beisbol,usa/mlb/,2016,home,0.4713333333333333,2.2,0.4578333333333333,1.7100000000000002,2LAnUeQT,0.0
134,beisbol,usa/mlb/,2016,home,0.5788333333333333,0.0,0.4578333333333333,0.0,2LGCYGu9,0.0
135,beisbol,usa/mlb/,2016,away,0.5305,2.5,0.39966666666666667,1.58,2LWHqyQG,1.0
136,beisbol,usa/mlb/,2016,home,0.4565,2.45,0.2913333333333333,1.6,2LbmrTLa,1.0
137,beisbol,usa/mlb/,2016,home,0.4713333333333333,1.6,0.4578333333333333,2.45,2LhmaGP3,0.0
138,beisbol,usa/mlb/,2016,home,0.6823333333333333,0.0,0.17466666666666664,0.0,2Ln1SXJk,1.0
139,beisbol,usa/mlb/,2016,home,0.4565,2.2,0.39716666666666667,1.7100000000000002,2NPtlelj,0.0
140,beisbol,usa/mlb/,2016,home,0.5663333333333334,1.6,0.4563333333333333,2.45,2NTsZEaO,1.0
141,beisbol,usa/mlb/,2016,away,0.5411666666666667,1.8300000000000003,0.4893333333333333,2.0,2P654dqg,0.0
142,beisbol,usa/mlb/,2016,away,0.43683333333333335,2.4,0.43466666666666665,1.62,2PGMVyAe,1.0
143,beisbol,usa/mlb/,2016,home,0.633,1.95,0.44333333333333336,1.86,2PO4ZypJ,1.0
144,beisbol,usa/mlb/,2016,home,0.5131666666666667,0.0,0.4685,0.0,2PWKzmgQ,0.0
145,beisbol,usa/mlb/,2016,home,0.5455,1.54,0.5215,2.65,2PpzkHq6,1.0
146,beisbol,usa/mlb/,2016,home,0.7448333333333333,2.4,0.4315,1.62,2RJgjDZM,1.0
147,beisbol,usa/mlb/,2016,home,0.4819259259259259,1.86,0.4514074074074074,1.95,2RZsqjft,1.0
148,beisbol,usa/mlb/,2016,home,0.5526666666666666,0.0,0.4201666666666667,0.0,2RaFLYXF,1.0
149,beisbol,usa/mlb/,2016,away,0.6073333333333333,2.5,0.4663333333333333,1.58,2RewhWKK,1.0
150,beisbol,usa/mlb/,2016,home,0.6496666666666666,2.05,0.4031666666666667,1.7999999999999998,2Rs0veJD,0.0
151,beisbol,usa/mlb/,2016,home,0.5056666666666667,0.0,0.4281666666666667,0.0,2Ruh00I6,0.0
152,beisbol,usa/mlb/,2016,home,0.7168333333333333,1.54,0.3578333333333333,2.65,2T4AHqp1,1.0
153,beisbol,usa/mlb/,2016,home,0.5481666666666667,1.47,0.4088333333333333,2.75,2TAMAvH6,1.0
154,beisbol,usa/mlb/,2016,home,0.4226666666666665,0.0,0.4078333333333333,0.0,2TAhApTn,1.0
155,beisbol,usa/mlb/,2016,away,0.45799999999999996,1.62,0.3833333333333333,2.4,2TKN9x3r,1.0
156,beisbol,usa/mlb/,2016,home,0.6615,1.86,0.5291666666666667,1.95,2TW3Fwnd,0.0
157,beisbol,usa/mlb/,2016,away,0.523,2.4,0.43466666666666665,1.62,2Tbhfc3e,1.0
158,beisbol,usa/mlb/,2016,away,0.5281666666666667,1.8300000000000003,0.4881666666666667,2.0,2Tzn6FJ4,0.0
